 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -399.801     -399.603     -393.198     -395.865     -400.178     -395.993     -399.603   
  -400.806     -394.807     -399.777     -397.357     -400.470     -401.382     -397.890   
  -396.193     -401.674     -401.962     -398.848     -399.199     -401.674     -402.991   
  -403.060     -403.012     -398.196     -399.882     -402.760     -400.809     -402.878   
  -404.621     -399.400     -404.264     -401.374     -405.181     -404.370     -401.858   
  -400.786     -405.314     -406.267     -402.866     -402.880     -406.790     -405.574   
  -406.700     -408.164     -402.501     -404.357     -406.883     -404.084     -408.399   
  -409.773     -403.705     -408.192     -405.849     -409.656     -408.492     -405.134   
  -404.909     -409.801     -409.761     -407.341     -406.849     -410.859     -410.389   
  -411.411     -410.965     -406.401     -408.598     -412.639     -408.458     -411.909   
  -412.169     -408.010     -412.433     -410.089     -413.203     -413.843     -410.355   
  -409.396     -414.330     -413.884     -411.581     -411.664     -414.407     -415.452   
  -415.716     -415.781     -411.111     -413.073     -415.781     -412.868     -416.016   
  -417.167     -412.161     -417.718     -414.564     -416.985     -417.390     -414.072   
  -413.365     -419.328     -418.189     -416.056     -415.787     -418.189     -419.287   
  -420.532     -419.798     -414.386     -417.054     -420.661     -416.991     -420.086   
  -421.002     -415.996     -420.966     -418.545     -421.659     -421.865     -418.888   
  -417.200     -422.575     -422.024     -420.037     -420.603     -422.863     -423.762   
  -423.961     -423.074     -419.202     -420.889     -423.949     -422.213     -424.067   
  -424.460     -420.252     -425.782     -422.380     -424.801     -425.558     -423.417   
  -421.638     -427.679     -426.175     -423.872     -424.726     -426.005     -427.168   
  -428.883     -427.784     -422.660     -425.327     -428.477     -425.930     -427.902   
  -429.170     -423.710     -430.220     -426.819     -428.924     -430.087     -427.134   
  -425.319     -431.424     -430.662     -428.311     -429.542     -430.533     -431.137   
  -432.810     -431.712     -427.322     -429.008     -432.158     -431.151     -431.737   
  -433.098     -428.372     -433.901     -430.500     -432.759     -433.768     -432.355   
  -429.576     -435.511     -434.120     -431.992     -434.070     -433.963     -435.665   
  -437.120     -435.324     -431.067     -433.265     -437.290     -435.679     -435.012   
  -436.710     -432.964     -437.870     -434.756     -436.322     -438.494     -437.289   
  -434.168     -439.479     -437.732     -436.248     -439.004     -437.526     -440.391   
